chemical,activity,dosage,reference
MAGNESIUM,AntiLyme,"400-1,000 mg","Duke, 1992 *"
MAGNESIUM,Antimastalgic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
MAGNESIUM,Antimenopausal,500-750 mg/day,"Duke, 1992 *"
MAGNESIUM,Antimigraine,200 mg/day/man,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
MAGNESIUM,Antimitral-valve-prolapse,not available,"Duke, 1992 *"
MAGNESIUM,AntiMS,not available,"Duke, 1992 *"
MAGNESIUM,Antinephrolytic,not available,"Duke, 1992 *"
MAGNESIUM,Antineurotic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
MAGNESIUM,Antiosteoporotic,"500-1,000 mg/day/wmn/orl","Duke, 1992 *"
MAGNESIUM,Antiplaque,"500-1,000 mg/day","Duke, 1992 *"
MAGNESIUM,AntiPMS,400-800 mg/day/wmn/orl,"Duke, 1992 *"
MAGNESIUM,AntiPMS,400-800 mg/day/wmn orl,"Duke, 1992 *"
MAGNESIUM,AntiRaynaud's,280-350 mg/day,"Duke, 1992 *"
MAGNESIUM,Antiretinopathic,400 mg/day,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
MAGNESIUM,Antispasmodic,not available,"Duke, 1992 *"
MAGNESIUM,Antispasmophilic,500 mg/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
MAGNESIUM,Antistress,500-750 mg/day,"Duke, 1992 *"
MAGNESIUM,Antistroke,400 mg/day,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
MAGNESIUM,Antisyndrome-X,400 mg/man/day,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
MAGNESIUM,Anxiolytic,500-750 mg/day,"Duke, 1992 *"
MAGNESIUM,Calcium-Antagonist,not available,"Duke, 1992 *"
MAGNESIUM,Cardioprotective,not available,"Duke, 1992 *"
MAGNESIUM,CNS-Depressant,not available,"Facciola, S. 1998. Cornucopia - A Source Book of Edible Plants. Kampong Publications, Vista CA. 713 pp."
MAGNESIUM,Diuretic,not available,"Duke, 1992 *"
MAGNESIUM,Hypocholesterolemic,400 mg/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
MAGNESIUM,Hypotensive,260-500 mg/day,"Duke, 1992 *"
MAGNESIUM,Immunomodulator,not available,"Duke, 1992 *"
MAGNESIUM,Insulinogenic,400 mg/day,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
MAGNESIUM,Laxative,300-500 mg/day,"Duke, 1992 *"
MAGNESIUM,Litholytic,not available,"Duke, 1992 *"
MAGNESIUM,Myorelaxant,100 mg 4 x/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
MAGNESIUM,Neurotransmitter,not available,"Duke, 1992 *"
MAGNESIUM,Tranquilizer,500-750 mg/day,"Duke, 1992 *"
MAGNESIUM,Uterorelaxant,100 mg 4 x/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
MAGNESIUM,Vasodilator,not available,"Duke, 1992 *"
MALIC-ACID,Antiatherosclerotic,not available,"Duke, 1992 *"
MALIC-ACID,Antibacterial,not available,"Duke, 1992 *"
MALIC-ACID,Antifibromyalgic,300 mg 3x/day,"Duke, 1992 *"
MALIC-ACID,Antioxidant Synergist,not available,Merck 11th Edition
MALIC-ACID,Antiseborrheic,not available,"Duke, 1992 *"
MALIC-ACID,Antiseptic,not available,Martindale's 29th
MALIC-ACID,Antitubercular,not available,"Duke, 1992 *"
MALIC-ACID,Antitumor,not available,"Economic & Medicinal Plant Research, 6: 235."
MALIC-ACID,Bacteristat,not available,"Duke, 1992 *"
MALIC-ACID,Bruchiphobe,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
MALIC-ACID,Hemopoietic,not available,"Duke, 1992 *"
MALIC-ACID,Laxative?,not available,"Lawrence Review of Natural Products, Sep-91."
MALIC-ACID,Mycobactericide,not available,"Duke, 1992 *"
MALIC-ACID,Pesticide,not available,"Duke, 1992 *"
MALIC-ACID,Sialogogue,not available,Martindale's 29th
MALIC-ACID,Antiatherosclerotic,not available,"Duke, 1992 *"
MALIC-ACID,Antibacterial,not available,"Duke, 1992 *"
MALIC-ACID,Antifibromyalgic,300 mg 3x/day,"Duke, 1992 *"
MALIC-ACID,Antioxidant Synergist,not available,Merck 11th Edition
MALIC-ACID,Antiseborrheic,not available,"Duke, 1992 *"
MALIC-ACID,Antiseptic,not available,Martindale's 29th
MALIC-ACID,Antitubercular,not available,"Duke, 1992 *"
MALIC-ACID,Antitumor,not available,"Economic & Medicinal Plant Research, 6: 235."
MALIC-ACID,Bacteristat,not available,"Duke, 1992 *"
MALIC-ACID,Bruchiphobe,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
MALIC-ACID,Hemopoietic,not available,"Duke, 1992 *"
MALIC-ACID,Laxative?,not available,"Lawrence Review of Natural Products, Sep-91."
MALIC-ACID,Mycobactericide,not available,"Duke, 1992 *"
MALIC-ACID,Pesticide,not available,"Duke, 1992 *"
MALIC-ACID,Sialogogue,not available,Martindale's 29th
MALVIDIN,Antifertility,not available,"Duke, 1992 *"
MALVIDIN,Antioxidant,not available,"Duke, 1992 *"
MALVIDIN,Antiperiodontal,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
MALVIDIN,Antiplaque,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
MALVIDIN,Pigment,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
MALVIDIN,Prooxidant,not available,"Duke, 1992 *"
MANGANESE,Antialcoholic,not available,"Forest H. Nielsen, USDA, Grand Forks, various publications."
MANGANESE,Antianemic,not available,Martindale's 28th
MANGANESE,Antiarthritic,not available,"Duke, 1992 *"
MANGANESE,Antidiabetic,3-5 mg/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
MANGANESE,Antidiabetic,10-30 mg/man/day,"Duke, 1992 *"
MANGANESE,Antidiscotic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
MANGANESE,Antidyskinetic,not available,Martindale's 28th
MANGANESE,Antiepileptic,450 mg/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
MANGANESE,Antiosteoporotic,not available,"Duke, 1992 *"
MANGANESE,Antiototic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
MANGANESE,Antioxidant,not available,"Duke, 1992 *"
MANGANESE,AntiPMS,not available,"Duke, 1992 *"
MANGANESE,Antisyndrome-X,10-30 mg/man/day,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
MANGANESE,Hypoglycemic,10-30 mg/man/day,"Duke, 1992 *"
MANGANESE,Antialcoholic,not available,"Forest H. Nielsen, USDA, Grand Forks, various publications."
MANGANESE,Antianemic,not available,Martindale's 28th
MANGANESE,Antiarthritic,not available,"Duke, 1992 *"
MANGANESE,Antidiabetic,3-5 mg/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
MANGANESE,Antidiabetic,10-30 mg/man/day,"Duke, 1992 *"
MANGANESE,Antidiscotic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
MANGANESE,Antidyskinetic,not available,Martindale's 28th
MANGANESE,Antiepileptic,450 mg/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
MANGANESE,Antiosteoporotic,not available,"Duke, 1992 *"
MANGANESE,Antiototic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
MANGANESE,Antioxidant,not available,"Duke, 1992 *"
MANGANESE,AntiPMS,not available,"Duke, 1992 *"
MANGANESE,Antisyndrome-X,10-30 mg/man/day,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
MANGANESE,Hypoglycemic,10-30 mg/man/day,"Duke, 1992 *"
MERCURY,Nephrotoxic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
METHIONINE,Anticataract,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
METHIONINE,Antidote (Acetaminophen),10 g/16hr/man/orl,Martindale's 29th
METHIONINE,Antidote (Paracetamol),10 g/16hr/man/orl,Martindale's 29th
METHIONINE,Antieczemic,not available,"Duke, 1992 *"
METHIONINE,Antihepatotic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
METHIONINE,Antioxidant,not available,"Duke, 1992 *"
METHIONINE,Antiparkinsonian,1-5 g/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
METHIONINE,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
METHIONINE,Emetic,not available,Martindale's 29th
METHIONINE,Essential,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
METHIONINE,Glutathionigenic,not available,Martindale's 29th
METHIONINE,Hepatoprotective,not available,"Duke, 1992 *"
METHIONINE,Lipotropic,not available,Merck 11th Edition
METHIONINE,Urine-Acidifier,200 mg/3x/day/man/orl,Martindale's 28th
METHIONINE,Urine-Deodorant,not available,Martindale's 29th
METHYL-AMINE,Irritant,not available,"Duke, 1992 *"
MOLYBDENUM,Anticancer (Esophagus)?,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
MOLYBDENUM,Antitumor (Esophagus)?,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
MUFA,Allergenic,not available,"Duke, 1992 *"
MUFA,Anemiagenic,not available,"Duke, 1992 *"
MUFA,Antiinflammatory,IC50=21 uM,"Duke, 1992 *"
MUFA,Antileukotriene-D4,IC50=21 uM,"Duke, 1992 *"
MUFA,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
MUFA,Choleretic,5 ml/man,"Duke, 1992 *"
MUFA,Dermatitigenic,not available,"Duke, 1992 *"
MUFA,FLavor,FEMA 1-30,Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
MUFA,Hypocholesterolemic,not available,"Spiller, G. A. 1996 (Spiller, G. A. Ed. 1996. CRC Handbook of Lipids in Human Nutrition. CRC Press. Boca Raton, FL. 233 pp.)"
MUFA,Insectifuge,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
MUFA,Irritant,not available,Merck 11th Edition
MUFA,Percutaneostimulant,not available,"Seki, T., Toeda, C., Kawaguchi, T., Juni, K., Sugibayashi, K., and Morimoto, Y. 1990. Enhanced Transdermal Delivery of Zidovudine in Rats and Human Skin. Chem. Pharm. Bull. 38(11): 3086-3089, 1990."
MUFA,Perfumery,not available,Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
MYRICETIN,Allelochemic,IC82=1 mM,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
MYRICETIN,Antiallergenic,not available,"Duke, 1992 *"
MYRICETIN,Antibacterial,MIC=20-500 ug/ml,"Duke, 1992 *"
MYRICETIN,Antifeedant,"IC52=<1,000 ppm diet","Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
MYRICETIN,Antigastric,not available,"Duke, 1992 *"
MYRICETIN,Antigingivitic,MIC=20 ug/ml,"Duke, 1992 *"
MYRICETIN,Antigonadotrophic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
MYRICETIN,Antihistaminic,not available,"Duke, 1992 *"
MYRICETIN,AntiHIV,not available,"Duke, 1992 *"
MYRICETIN,Antiinflammatory,not available,Oriental Materia Medica (three volumes by Dr. Hsu and collaborators)
MYRICETIN,Antimutagenic,ID50=2-5 nM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
MYRICETIN,Antioxidant,IC99=200 ppm,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
MYRICETIN,Antioxidant,1.4 uM,"Duke, 1992 *"
MYRICETIN,Antioxidant,IC50=3.9 ug/ml,"Duke, 1992 *"
MYRICETIN,Antiperiodontic,MIC=20 ug/ml,"Duke, 1992 *"
MYRICETIN,Antiplaque,MIC=20 ug/ml,"Duke, 1992 *"
MYRICETIN,Antiseptic,MIC=20 ug/ml,"Duke, 1992 *"
MYRICETIN,Antiviral,not available,"Duke, 1992 *"
MYRICETIN,Apoptotic,60 uM,"Duke, 1992 *"
MYRICETIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
MYRICETIN,Candidicide,MIC=150 ug/ml,"Planta Medica, 57: A43, 1991."
MYRICETIN,COMP-Inhibitor,not available,"Dullo, A. G., et al. 1999. Efficacy of a green tea extract rich in catechin polyphenols and caffeine in increasing 24-h energy expenditure and fat oxidation in humans. Am. J. Clinical Nutrition, 70: 1040-1045."
MYRICETIN,Diuretic,not available,Oriental Materia Medica (three volumes by Dr. Hsu and collaborators)
MYRICETIN,Hypoglycemic,not available,"Economic & Medicinal Plant Research, 6: 170."
MYRICETIN,Larvistat,IC50=2.6-3.5 mM/kg diet,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
MYRICETIN,Lipoxygenase-Inhibitor,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
MYRICETIN,Mutagenic,not available,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
MYRICETIN,Oxidase-Inhibitor,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
MYRICETIN,Pesticide,not available,"Duke, 1992 *"
MYRICETIN,Quinone-Reductase-Inducer,36 uM,"Uda, Y., Price, K. R., Williamson, G., Rhodes, M. J. C. 1997. Induction of the Anticarcinogenic Marker Enzyme, Quinone Reductase, in Murine Hepatoma Cells In Vitro by Flavonoids. Cancer Lett., 120 (2): 213-216."
MYRICETIN,Topoisomerase-I-Inhibitor,IC50=11.9 ug/ml,"Duke, 1992 *"
MYRICETIN,Topoisomerase-II-Inhibitor,IC50=11.9 ug/ml,"Duke, 1992 *"
MYRICETIN,Tyrosine-Kinase-Inhibitor,not available,"Economic & Medicinal Plant Research, 6: 170."
MYRICETIN,Vasodilator,not available,"Duke, 1992 *"
MYRISTIC-ACID,Antioxidant,IC71=60,"Duke, 1992 *"
MYRISTIC-ACID,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
MYRISTIC-ACID,Cosmetic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
MYRISTIC-ACID,Hypercholesterolemic,not available,"Spiller, G. A. 1996 (Spiller, G. A. Ed. 1996. CRC Handbook of Lipids in Human Nutrition. CRC Press. Boca Raton, FL. 233 pp.)"
MYRISTIC-ACID,Lubricant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
MYRISTIC-ACID,Nematicide,not available,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
NEO-CHLOROGENIC-ACID,Antiinflammatory,not available,"Duke, 1992 *"
NEO-CHLOROGENIC-ACID,Vulnerary,not available,"Duke, 1992 *"
NEOXANTHIN,Colorant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
NEOXANTHIN,Ubiquiot,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
NEROL,Antibacterial,not available,HerbalGram No. 17.
NEROL,Antihelicobacter,not available,"Duke, 1992 *"
NEROL,Antiseptic,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
NEROL,Antiulcer,not available,"Duke, 1992 *"
NEROL,Estrogenic,not available,"Duke, 1992 *"
NEROL,FLavor,FEMA 1-20,Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
NEROL,Perfumery,not available,Merck 11th Edition
NEROL,Pesticide,not available,"Duke, 1992 *"
NEROL,Sedative,not available,"Zebovitz, T. C. Ed. 1989. Part VII. Flavor and Fragrance Substances, in Keith L. H. and Walters, D.B., eds. Compendium of Safety Data Sheets for Research and Industrial Chemicals. VCH Publishers, New York. 3560-4253."
NEROL,Trichomonicide,ED100=300 ug/ml,"Duke, 1992 *"
NIACIN,Allergenic,not available,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antiacrodynic,not available,"Duke, 1992 *"
NIACIN,Antiallergic,50 mg/2x/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antialzheimeran,not available,"Duke, 1992 *"
NIACIN,Antiamblyopic,not available,"Duke, 1992 *"
NIACIN,Antianginal,not available,"Duke, 1992 *"
NIACIN,Anticataract,not available,"Duke, 1992 *"
NIACIN,Antichilblain,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
NIACIN,Anticonvulsant,3 g/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antidementia,not available,"Duke, 1992 *"
NIACIN,Antidermatitic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
NIACIN,Antidiabetic,not available,"Duke, 1992 *"
NIACIN,Antidysphagic,not available,"Duke, 1992 *"
NIACIN,Antiepileptic,3 g/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antihangover,50 mg,"Duke, 1992 *"
NIACIN,Antihistaminic,50 mg 2x/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antihyperactivity,1.5-6 g/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antiinsomnic,1 g/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,AntiLyme,50 mg/day,"Duke, 1992 *"
NIACIN,AntiMeniere's,not available,"Duke, J. A. Writeups or information summaries on approximately 2,000 economic plants, USDA, ARS, Beltsville, MD 20705."
NIACIN,Antineuralgic,not available,"Duke, 1992 *"
NIACIN,Antiparkinsonian,100 mg/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antipellagric,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
NIACIN,AntiRaynaud's,"1,500-4,000 mg/day","Duke, 1992 *"
NIACIN,Antiscotomic,not available,"Duke, 1992 *"
NIACIN,Antispasmodic,100 mg 2x/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antivertigo,not available,"Duke, 1992 *"
NIACIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
NIACIN,Cardioprotective,not available,"Duke, 1992 *"
NIACIN,Circulotonic,not available,"Duke, 1992 *"
NIACIN,Fibrinolytic,not available,"Duke, 1992 *"
NIACIN,Hepatoprotective,not available,"Duke, 1992 *"
NIACIN,Hepatotoxic,not available,"Duke, 1992 *"
NIACIN,Hypocholesterolemic,50-100 mg 3x/day,"Duke, 1992 *"
NIACIN,Hypoglycemic,not available,"Duke, 1992 *"
NIACIN,Hypolipidemic,not available,"Duke, 1992 *"
NIACIN,Sedative,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
NIACIN,Serotoninergic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
NIACIN,Vasodilator,not available,Martindale's 29th
NIACIN,Allergenic,not available,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antiacrodynic,not available,"Duke, 1992 *"
NIACIN,Antiallergic,50 mg/2x/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antialzheimeran,not available,"Duke, 1992 *"
NIACIN,Antiamblyopic,not available,"Duke, 1992 *"
NIACIN,Antianginal,not available,"Duke, 1992 *"
NIACIN,Anticataract,not available,"Duke, 1992 *"
NIACIN,Antichilblain,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
NIACIN,Anticonvulsant,3 g/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antidementia,not available,"Duke, 1992 *"
NIACIN,Antidermatitic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
NIACIN,Antidiabetic,not available,"Duke, 1992 *"
NIACIN,Antidysphagic,not available,"Duke, 1992 *"
NIACIN,Antiepileptic,3 g/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antihangover,50 mg,"Duke, 1992 *"
NIACIN,Antihistaminic,50 mg 2x/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antihyperactivity,1.5-6 g/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antiinsomnic,1 g/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,AntiLyme,50 mg/day,"Duke, 1992 *"
NIACIN,AntiMeniere's,not available,"Duke, J. A. Writeups or information summaries on approximately 2,000 economic plants, USDA, ARS, Beltsville, MD 20705."
NIACIN,Antineuralgic,not available,"Duke, 1992 *"
NIACIN,Antiparkinsonian,100 mg/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antipellagric,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
NIACIN,AntiRaynaud's,"1,500-4,000 mg/day","Duke, 1992 *"
NIACIN,Antiscotomic,not available,"Duke, 1992 *"
NIACIN,Antispasmodic,100 mg 2x/day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
NIACIN,Antivertigo,not available,"Duke, 1992 *"
NIACIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
NIACIN,Cardioprotective,not available,"Duke, 1992 *"
NIACIN,Circulotonic,not available,"Duke, 1992 *"
NIACIN,Fibrinolytic,not available,"Duke, 1992 *"
NIACIN,Hepatoprotective,not available,"Duke, 1992 *"
NIACIN,Hepatotoxic,not available,"Duke, 1992 *"
NIACIN,Hypocholesterolemic,50-100 mg 3x/day,"Duke, 1992 *"
NIACIN,Hypoglycemic,not available,"Duke, 1992 *"
NIACIN,Hypolipidemic,not available,"Duke, 1992 *"
NIACIN,Sedative,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
NIACIN,Serotoninergic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
NIACIN,Vasodilator,not available,Martindale's 29th
NICKEL,Antiadrenalinic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
NICKEL,Anticirrhotic?,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
NICKEL,Insulin-Sparing,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
NONACOSANE,Antimutagenic,250 ug/ml,"Duke, 1992 *"
NONACOSANE,Antiviral,not available,"Abid Ali Khan, M.M., Jain, D.C., Bhakuni, R.S., Zaim, M., and Thakur, R.S. 1991. Occurrence of some antiviral sterols in Artemisia annua. Plant Science, 75: 161-165, 1991."
OLEANOLIC-ACID,Abortifacient,not available,"Duke, 1992 *"
OLEANOLIC-ACID,Antiallergic,not available,"Duke, 1992 *"
OLEANOLIC-ACID,Antiarrhythmic,40 mg/kg,"Duke, 1992 *"
OLEANOLIC-ACID,Antiatherosclerotic,not available,"Duke, 1992 *"
OLEANOLIC-ACID,Antibacterial,"MIC=625-1,250 ug/ml","Duke, 1992 *"
OLEANOLIC-ACID,Anticarcinomic,not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
OLEANOLIC-ACID,Anticariogenic,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
